지번주소,지붕코드명,구조코드명,구 이름,건물명,건축면적(㎡),지상층수,연면적(㎡),에너지절감율,사용승인일,통합용도명,위도,경도,동 이름,2401 탄소 예측량,건축면적(㎡)_y,지상층수,지하층수,연면적(㎡)_y,그린리모델링진행,사용승인일_y,연식,작년 탄소 배출량 월평균,탄소/연면적,주변 평균,사용승인 연도
서울특별시 마포구 중동 64-27,(철근)콘크리트,철근콘크리트구조,마포구,중동어린이집,172,3,516.23,0,19910712,어린이집,37.570148,126.9041799,중동,8.066358,172,3,1,516.23,미진행,19910712,33,2.741107203,0.005309856,0.004657055,1991
서울특별시 양천구 신정동 276,(철근)콘크리트,철근콘크리트구조,양천구,양천아파트,1004.5,2,2842.74,0,19951211,의료시설,37.50946015,126.8621603,신정동,1238.9199,51513.002,271,18,226940.6,미진행,19930702,31,212.1563858,0.000934854,0.004974522,1993
서울특별시 양천구 신정동 337-9,(철근)콘크리트,철골콘크리트구조,양천구,갈산공공도서관,448.95,5,2639.31,0,20140529,도서관,37.50885337,126.8673189,신정동,6.925105,448.95,5,2,2639.31,미진행,20140529,10,9.223809004,0.00349478,0.004974522,2014
서울특별시 양천구 신정동 1320-7,(철근)콘크리트,철근콘크리트구조,양천구,서울특별시 서남병원,5604.65,8,39324.84,0,20110301,의료시설,37.5120176,126.8331322,신정동,114.79001,5604.65,8,4,39324.84,미진행,20110301,13,97.32762836,0.002474966,0.004974522,2011
서울특별시 양천구 목동 655-16,(철근)콘크리트,철골콘크리트구조,양천구,구립목3동보듬이어린이집,174.5,3,473.54,0,20150209,어린이집,37.54530372,126.8636559,목동,24.673954,174.5,3,1,473.54,미진행,20150209,9,1.309852789,0.002766087,0.004978062,2015
서울특별시 양천구 목동 768-15,(철근)콘크리트,철근콘크리트구조,양천구,구립아인어린이집,99.52,3,380.79,0,20210209,어린이집,37.53562108,126.8663777,목동,38.522224,99.52,3,1,380.79,미진행,20210209,3,1.275672468,0.003350068,0.004978062,2021
서울특별시 양천구 신월동 9-2,(철근)콘크리트,철근콘크리트구조,양천구,구립둥지어린이집,258.9,3,1295.23,0,19980924,어린이집,37.54273523,126.8285942,신월동,10.265128,258.9,3,2,1295.23,미진행,19980924,26,2.507424653,0.001935891,0.004463263,1998
서울특별시 양천구 신월동 206-3,기타지붕,철근콘크리트구조,양천구,신월소방파출소,313.68,4,772.1,0,20001229,파출소,37.52792022,126.8330855,신월동,8.20057,313.68,4,1,772.1,미진행,20001229,24,3.642494273,0.004717646,0.004463263,2000
서울특별시 강서구 등촌동 516-6,(철근)콘크리트,철근콘크리트구조,강서구,하얀돌어린이집,124.49,3,329.09,0,20050203,어린이집,37.54588511,126.8600225,등촌동,26.355412,124.49,3,0,329.09,미진행,20050203,19,1.497180528,0.004549456,0.004942905,2005
서울특별시 강서구 등촌동 690-1,(철근)콘크리트,철근콘크리트구조,강서구,강서구립등빛도서관,462.3,4,2281.6,0,20120331,도서관,37.56245022,126.8423688,등촌동,3.212154,462.3,4,1,2281.6,미진행,20120331,12,10.20160956,0.004471252,0.004942905,2012
